"타임스탬프","자신의 점수","자신의 퍼센트","자신의 등수","하고싶은말"
"2018/11/18 11:15:01 오전 GMT+9","422556","2","","로쟝이랑 순애섹스하고싶다"
"2018/11/18 11:17:04 오전 GMT+9","55966","30","",""
"2018/11/18 11:17:54 오전 GMT+9","273817","0","",""
"2018/11/18 11:22:11 오전 GMT+9","398700","2","",""
"2018/11/18 11:23:17 오전 GMT+9","377350","3","",""
"2018/11/18 11:32:03 오전 GMT+9","296190","6","",""
"2018/11/18 11:32:06 오전 GMT+9","479013","1","",""
"2018/11/18 11:32:37 오전 GMT+9","438623","1","",""
"2018/11/18 11:34:04 오전 GMT+9","150327","16","",""
"2018/11/18 11:34:17 오전 GMT+9","459","91","",""
"2018/11/18 11:36:52 오전 GMT+9","1214","83","",""
"2018/11/18 11:41:26 오전 GMT+9","459","89","",""
"2018/11/18 11:42:13 오전 GMT+9","521825","0","79",""
"2018/11/18 11:44:11 오전 GMT+9","229000","10","",""
"2018/11/18 11:50:02 오전 GMT+9","35000","40","",""
"2018/11/18 11:50:19 오전 GMT+9","459","89","",""
"2018/11/18 11:50:44 오전 GMT+9","429454","4","","거유 좋아여"
"2018/11/18 11:51:21 오전 GMT+9","257000","8","",""
"2018/11/18 12:04:16 오후 GMT+9","306114","5","","섹스"
"2018/11/18 12:06:30 오후 GMT+9","368047","3","",""
"2018/11/18 12:12:03 오후 GMT+9","282919","7","","바닥작이여 영원하라~!!"
"2018/11/18 12:13:41 오후 GMT+9","483836","1","",""
"2018/11/18 12:14:48 오후 GMT+9","555","88","",""
"2018/11/18 12:15:00 오후 GMT+9","555","88","",""
"2018/11/18 12:19:01 오후 GMT+9","459","97","",""
"2018/11/18 12:23:00 오후 GMT+9","521571","0","80",""
"2018/11/18 12:24:33 오후 GMT+9","388000","2","","우중비모"
"2018/11/18 12:26:31 오후 GMT+9","191960","13","",""
"2018/11/18 12:32:11 오후 GMT+9","324304","5","",""
"2018/11/18 12:34:58 오후 GMT+9","35190","41","","타도! 우중! 네놈의 상대평가, 바닥작으로 대체되었다!"
"2018/11/18 12:37:07 오후 GMT+9","386195","2","",""
"2018/11/18 12:39:54 오후 GMT+9","401080","2","",""
"2018/11/18 12:50:05 오후 GMT+9","5138","73","",""
"2018/11/18 12:58:33 오후 GMT+9","291300","6","",""
"2018/11/18 1:04:13 오후 GMT+9","19214","51","","구아전장은 틀렸어..."
"2018/11/18 1:08:17 오후 GMT+9","339260","4","",""
"2018/11/18 1:09:07 오후 GMT+9","3285","77","",""
"2018/11/18 1:20:03 오후 GMT+9","459","92","",""
"2018/11/18 1:20:11 오후 GMT+9","459","92","",""
"2018/11/18 1:20:23 오후 GMT+9","459","92","",""
"2018/11/18 1:20:29 오후 GMT+9","459","92","",""
"2018/11/18 1:22:54 오후 GMT+9","101284","21","","제발..."
"2018/11/18 1:23:22 오후 GMT+9","465914","1","",""
"2018/11/18 1:29:51 오후 GMT+9","442366","1","","인100컷 하루만에 10만 오르는 거 실화냐"
"2018/11/18 1:34:59 오후 GMT+9","473560","1","",""
"2018/11/18 1:36:12 오후 GMT+9","332550","4","","기모띠"
"2018/11/18 1:48:54 오후 GMT+9","240631","9","",""
"2018/11/18 1:51:24 오후 GMT+9","15","70","","뉴비가 하기엔 너무나도 너무너무너무너무 너무 어려운 이벤트네용"
"2018/11/18 1:53:30 오후 GMT+9","1246","83","",""
"2018/11/18 1:56:13 오후 GMT+9","462697","1","",""
"2018/11/18 2:01:00 오후 GMT+9","24003","49","",""
"2018/11/18 2:08:11 오후 GMT+9","416625","2","",""
"2018/11/18 2:10:41 오후 GMT+9","394983","2","",""
"2018/11/18 2:20:02 오후 GMT+9","349967","4","","우중아 겜 난이도 내려야제"
"2018/11/18 3:06:51 오후 GMT+9","430170","1","","1퍼로 밀렸어오"
"2018/11/18 3:21:37 오후 GMT+9","68584","26","","바닥 3개 깔고 하나 더 깔고 있습니다!"
"2018/11/18 3:22:03 오후 GMT+9","7780","68","",""
"2018/11/18 3:25:10 오후 GMT+9","360000","3","",""
"2018/11/18 3:27:49 오후 GMT+9","496013","1","","하고싶은말"
"2018/11/18 3:33:36 오후 GMT+9","0","30","30","시발 우중이 개새끼 이런건 왜 경쟁만들어서 좆같이 하냐!"
"2018/11/18 3:38:02 오후 GMT+9","446772","1","",""
"2018/11/18 3:44:21 오후 GMT+9","347231","4","","흐으으음"
"2018/11/18 3:49:41 오후 GMT+9","332631","4","",""
"2018/11/18 4:22:10 오후 GMT+9","433588","1","",""
"2018/11/18 5:26:32 오후 GMT+9","539135","0","63",""
"2018/11/18 5:32:37 오후 GMT+9","430000","1","",""
"2018/11/18 5:34:25 오후 GMT+9","318605","5","",""
"2018/11/18 5:35:49 오후 GMT+9","19834","53","","우중비모! 우중비모!"
"2018/11/18 5:36:42 오후 GMT+9","59","100","","우중 개씨벌!"
"2018/11/18 5:36:52 오후 GMT+9","459","100","",""
"2018/11/18 5:37:09 오후 GMT+9","459","100","",""
